标志,ID,人物,内容,跳转
@,1,老人,......,2
@,2,老人,真是稀奇......我一次性做了多少个梦啊......,3
@,3,老人,......嘛，算了。,4
@,4, ,脑袋一阵阵地疼起来，好像有很多东西一次性全涌入了脑海。,5
@,5, ,那些埋藏在内心深处的记忆，火焰般涅槃重燃，心脏被回忆灼得生疼。,6
@,6,老人,还是老了，毛病多了。睡一觉真折腾人。,7
@,7,老人,不过......我算找回来了。,8
@,8, ,那些回忆。,9
@,9, ,纯真的，炽热的，平凡的，,10
@,10, ,值得被人们铭记在心的记忆。,11
@,11, ,【我低下头，盯着空荡荡的地板，叹了口气。】,12
@,12, ,【踌躇片刻，再次站起了身。】,13
@,13,老人,我睡了多久？,14
@,14, ,【天边微光泛起，世界好像再次苏醒了。】,15
@,15, ,【我踱步走向客厅。哒、哒、哒。一步一步。】,16
@,16,老人,......,17
@,17,老人,人为什么会做梦呢？,18
@,18,老人,当我度过漫漫一生，那些珍贵的记忆早被我遗忘在了路边。,19
@,19,老人,可寥寥几时的梦，又这样帮我拾回了最珍贵的回忆。,20
@,20, ,人们说，梦是渴望，是真实，是念念不忘的回想。,21
@,21, ,走过一生，到头来还是怀念。,22
@,22, ,世事一场大梦，我是亲历者，还是梦中人？,23
@,23, ,我站在客厅，环顾四周。,24
@,24, ,一览无余的茶几上，空荡荡的茶杯还泛有余香。,25
@,25, ,【全剧终】,26
end,26,,,
